CODE,Grade,InPerson,Total_students,zipcode,Capacity,start_date,end_date
111001800562,PRIMARY,27.400000000000002,69,002599,0.39710144927536234,2021-02-15,2021-03-05
111001800562,SECONDARY,20.400000000000002,700,002599,0.029142857142857147,2021-02-15,2021-03-05
111001800643,PREK,4.2,47,004583,0.08936170212765958,2021-02-15,2021-03-05
111001800643,PRIMARY,12.4,335,004583,0.037014925373134326,2021-02-15,2021-03-05
111279000125,PREK,0,46,006406,0,2021-02-15,2021-03-05
111279000125,PRIMARY,0,522,006406,0,2021-02-15,2021-03-05
311001095680,PREK,12,27,004539,0.4444444444444444,2021-02-15,2021-03-05
311001036888,PREK,0,39,002302,0,2021-02-15,2021-03-05
311001001782,PREK,2,14,006109,0.14285714285714285,2021-02-15,2021-03-05
311001089710,PREK,1,1,002424,1,2021-02-15,2021-03-05
311001110182,PREK,2.8000000000000003,35,009229,0.08,2021-02-15,2021-03-05
311001097615,PREK,5,86,004575,0.05813953488372093,2021-02-15,2021-03-05
311769000416,PREK,2,8,009113,0.25,2021-02-15,2021-03-05
311001095469,PREK,7.4,45,009209,0.16444444444444445,2021-02-15,2021-03-05
311001091358,PREK,3.2,58,004105,0.055172413793103454,2021-02-15,2021-03-05
311769000556,PREK,9.4,16,009249,0.5875,2021-02-15,2021-03-05
311001076502,PREK,3,4,009240,0.75,2021-02-15,2021-03-05
311001105707,PREK,6.800000000000001,35,009265,0.1942857142857143,2021-02-15,2021-03-05
311769003920,PREK,5,9,107102,0.5555555555555556,2021-02-15,2021-03-05
311769000564,PREK,2.6,48,009119,0.05416666666666667,2021-02-15,2021-03-05
311102001074,PREK,4.800000000000001,32,004604,0.15000000000000002,2021-02-15,2021-03-05
311769003938,PREK,7.6000000000000005,29,107102,0.2620689655172414,2021-02-15,2021-03-05
311769002672,PREK,23.8,114,009117,0.20877192982456141,2021-02-15,2021-03-05
311001001626,PREK,32,34,107102,0.9411764705882353,2021-02-15,2021-03-05
311001079901,PREK,8.4,11,001319,0.7636363636363637,2021-02-15,2021-03-05
311001043787,PREK,2.6,47,001426,0.055319148936170216,2021-02-15,2021-03-05
311769002290,PREK,0.2,7,107109,0.028571428571428574,2021-02-15,2021-03-05
311001090637,PREK,1.4000000000000001,9,004595,0.15555555555555556,2021-02-15,2021-03-05
311001086320,PREK,39.6,27,107101,1,2021-02-15,2021-03-05
311001109443,PREK,4,36,004637,0.1111111111111111,2021-02-15,2021-03-05
311001002070,PREK,16.400000000000002,10,008203,1,2021-02-15,2021-03-05
311001039569,PREK,5,32,001304,0.15625,2021-02-15,2021-03-05
311769002796,PREK,10.200000000000001,95,107109,0.10736842105263159,2021-02-15,2021-03-05
311001065047,PREK,2,2,107106,1,2021-02-15,2021-03-05
311001101850,PREK,32.800000000000004,67,002303,0.4895522388059702,2021-02-15,2021-03-05
311001046611,PREK,7.2,20,001414,0.36,2021-02-15,2021-03-05
311001099065,PREK,0.4,30,001319,0.013333333333333334,2021-02-15,2021-03-05
311001042667,PREK,22.6,5,009142,1,2021-02-15,2021-03-05
311001001049,PREK,2,20,001426,0.1,2021-02-15,2021-03-05
311001033676,PREK,2,19,009138,0.10526315789473684,2021-02-15,2021-03-05
311001095485,PREK,3.8000000000000003,8,009218,0.47500000000000003,2021-02-15,2021-03-05
311001105979,PREK,5.800000000000001,1,002102,1,2021-02-15,2021-03-05
311848000324,PREK,9.600000000000001,33,009121,0.29090909090909095,2021-02-15,2021-03-05
311769000076,PREK,1.4000000000000001,11,009215,0.1272727272727273,2021-02-15,2021-03-05
311001039623,PREK,1.8,21,004546,0.08571428571428572,2021-02-15,2021-03-05
311001030537,PREK,0.8,5,002415,0.16,2021-02-15,2021-03-05
311001046492,PREK,0.8,5,001327,0.16,2021-02-15,2021-03-05
311001019568,PREK,30.6,216,008309,0.14166666666666666,2021-02-15,2021-03-05
